rang,id,pixelszam,terulet_m2,terulet_ha,terfogat_m3,max_melyseg_m,atlag_melyseg_m,sor,oszlop,szelen_van,eov_x,eov_y,lat,lon,maps
1.0,3174.0,45164.0,40647600.0,4064.76,83391255.27877808,4.238052368164063,2.051566520010482,826.2063811885572,1651.2264414135152,0.0,685434.7697723731,143457.57709518124,46.63454070238928,19.510235376670465,"https://www.google.com/maps?q=46.63454,19.51024"
2.0,27.0,20514.0,18462600.0,1846.26,70630749.27520752,6.139373779296875,3.8256122797009913,510.1273276786585,236.3466413181242,1.0,642988.3757695114,152939.9487004782,46.72074513065556,18.95574403718925,"https://www.google.com/maps?q=46.72075,18.95574"
3.0,5250.0,17717.0,15945300.0,1594.53,64467903.43322754,5.3028411865234375,4.043066197138187,1402.745160015804,91.74877236552464,1.0,638650.4397009335,126161.41373036384,46.47978608085887,18.899668171390285,"https://www.google.com/maps?q=46.47979,18.89967"
4.0,2491.0,42260.0,38034000.0,3803.4,48221882.46002197,3.0864334106445312,1.2678625035500335,658.7111689540938,180.99503076194983,0.0,641327.8274528262,148482.43346221515,46.68062574492805,18.934108295408862,"https://www.google.com/maps?q=46.68063,18.93411"
5.0,948.0,23518.0,21166200.0,2116.62,20111588.96484375,2.4876937866210938,0.950174758097521,344.9064546304958,1227.3381665107577,0.0,672718.1215252904,157896.57489192308,46.76498657193658,19.34487488651393,"https://www.google.com/maps?q=46.76499,19.34487"
6.0,2747.0,36167.0,32550300.0,3255.03,12324004.204559326,1.0389633178710938,0.3786141511617197,787.8665910913263,749.5939115768518,0.0,658385.7938772733,144607.77079809818,46.64577527273642,19.15700202486394,"https://www.google.com/maps?q=46.64578,19.15700"
7.0,4719.0,9688.0,8719200.0,871.92,9836513.800048828,5.3813323974609375,1.1281440728563203,934.1787778695292,1397.4826589595375,0.0,677822.4562987539,140218.4051947521,46.60576245728594,19.410625395524143,"https://www.google.com/maps?q=46.60576,19.41063"
8.0,1581.0,10023.0,9020700.0,902.07,7516081.0958862305,2.8494949340820312,0.8332037531329309,383.1557417938741,743.1001696098972,0.0,658190.9816182647,156749.09627702174,46.75500039898536,19.154672611225305,"https://www.google.com/maps?q=46.75500,19.15467"
9.0,10120.0,3485.0,3136500.0,313.65,6809791.923522949,4.420623779296875,2.1711436070533874,1776.5879483500717,1344.3024390243902,1.0,676227.0497006994,114946.1300803358,46.37848057942093,19.388366822297293,"https://www.google.com/maps?q=46.37848,19.38837"
10.0,7760.0,15824.0,14241600.0,1424.16,6625309.707641602,3.048812866210937,0.4652082425880239,1465.2869059656218,325.8763902932255,0.0,645674.2682387645,124285.1613518693,46.46299077951154,18.991152741257903,"https://www.google.com/maps?q=46.46299,18.99115"
11.0,3378.0,6603.0,5942700.0,594.27,5978803.539276123,6.892547607421875,1.006075275426342,774.0012115704983,1792.1918824776617,0.0,689663.7330042976,145023.732183723,46.6483913211417,19.565598764268806,"https://www.google.com/maps?q=46.64839,19.56560"
12.0,900.0,2856.0,2570400.0,257.04,5819573.680114746,3.4518356323242188,2.26407317153546,202.41981792717087,2085.0406162464988,0.0,698449.1950173627,162171.17399302282,46.80206288440477,19.682176591954534,"https://www.google.com/maps?q=46.80206,19.68218"
13.0,970.0,6843.0,6158700.0,615.87,5576649.066925049,1.4862442016601562,0.905491267138365,249.54011398509425,812.5499050124215,0.0,660274.4736803403,160757.56511128513,46.79103150735881,19.182033107917494,"https://www.google.com/maps?q=46.79103,19.18203"
14.0,5410.0,5596.0,5036400.0,503.64,5247456.317138672,2.889717102050781,1.0419061863908092,1050.1817369549678,1870.9547891350965,0.0,692026.6202040206,136738.31642218892,46.573712894251955,19.595707009149542,"https://www.google.com/maps?q=46.57371,19.59571"
15.0,41.0,7097.0,6387300.0,638.73,5085402.951049805,1.4234085083007812,0.796174119119159,59.99408200648161,305.1027194589263,1.0,645051.0581137355,166443.94607064352,46.842244750072076,18.98257623898457,"https://www.google.com/maps?q=46.84224,18.98258"
16.0,5477.0,11623.0,10460700.0,1046.07,5031461.892700195,1.6896514892578125,0.4809871129752497,1124.7278671599415,193.9932031317216,0.0,641717.7726239194,134501.9325160397,46.55486264328246,18.9394603419709,"https://www.google.com/maps?q=46.55486,18.93946"
17.0,2531.0,4370.0,3933000.0,393.3,5017571.280670166,3.2964019775390625,1.2757618308340113,543.7116704805492,1802.183752860412,0.0,689963.4891157801,151932.41841642148,46.710522335689085,19.57011667419138,"https://www.google.com/maps?q=46.71052,19.57012"
18.0,1442.0,19433.0,17489700.0,1748.97,4517974.195861816,0.8494949340820312,0.2583219949948722,427.73184788761387,883.6226521895744,0.0,662406.6560956549,155411.81309420953,46.74290543697867,19.20981557285284,"https://www.google.com/maps?q=46.74291,19.20982"
19.0,8629.0,3151.0,2835900.0,283.59,4293356.046295166,5.414039611816406,1.5139306908900758,1554.4655664868296,925.9352586480484,0.0,663676.0342894092,121609.80153623308,46.438799552129865,19.22542574623545,"https://www.google.com/maps?q=46.43880,19.22543"
20.0,202.0,4296.0,3866400.0,386.64,4117919.306945801,2.345184326171875,1.065052583008949,100.71717877094972,778.6862197392924,0.0,659258.5631221465,165222.25316770948,46.83121017292423,19.16881686335455,"https://www.google.com/maps?q=46.83121,19.16882"
